geoid,ct,pop,households,grp_qtrs,inst,pop_u18,hisp,white,black,asian,other_race,multiracial,housing,occupied,vacant
36005025000,2025000,2672,2656,16,0,515,775,1397,48,374,19,59,1083,1023,60
36005025100,2025100,6924,6912,12,0,1756,4714,99,1408,571,45,87,2310,2232,78
36005025200,2025200,2682,2682,0,0,579,896,1130,196,371,44,45,1059,988,71
36005025300,2025300,6234,6060,174,0,1556,4756,100,1001,204,88,85,1999,1939,60
36005025400,2025400,2163,2157,6,0,425,749,1018,79,213,60,44,903,850,53
36005025500,2025500,8092,6599,1493,0,1707,5871,544,1245,274,67,91,2257,2178,79
36005025600,2025600,1908,1855,53,53,363,922,466,241,193,42,44,713,676,37
36005025700,2025700,1809,1809,0,0,359,1421,47,283,16,22,20,689,675,14
36005026100,2026100,2060,2009,51,0,253,830,140,937,79,20,54,1113,1029,84
36005026300,2026300,6788,6167,621,600,1412,5440,283,748,124,88,105,2350,2240,110
36005026400,2026400,5693,5687,6,0,1127,2586,1965,404,561,56,121,2288,2207,81
36005026500,2026500,7166,6997,169,54,1763,5590,212,753,455,86,70,2248,2224,24
36005026601,2026601,3328,3315,13,0,613,1701,1096,235,225,23,48,1513,1445,68
36005026602,2026602,6409,6394,15,0,1354,3425,1858,505,448,56,117,2876,2741,135
36005026701,2026701,3983,3964,19,0,1026,2917,161,316,507,35,47,1402,1316,86
36005026702,2026702,7022,7009,13,0,1665,5627,287,842,102,102,62,2516,2432,84
36005026900,2026900,4126,4066,60,0,889,3089,156,709,89,38,45,1661,1605,56
36005027300,2027300,7939,7658,281,224,1809,6083,523,1037,104,79,113,2808,2690,118
36005027401,2027401,5136,5136,0,0,1017,1538,3067,124,241,58,108,2010,1893,117
36005027402,2027402,3553,3402,151,124,582,894,2390,94,113,21,41,1461,1369,92
36005027600,2027600,23,17,6,0,7,10,5,5,3,0,0,1,1,0
36005027700,2027700,4968,4962,6,0,1099,3786,399,553,114,53,63,1866,1792,74
36005027900,2027900,8145,7760,385,369,1696,5246,1280,988,340,98,193,3230,3104,126
36005028100,2028100,3720,3491,229,203,503,1846,1091,548,120,29,86,1816,1686,130
36005028300,2028300,2084,2077,7,0,478,1432,141,386,45,45,35,866,846,20
36005028400,2028400,297,63,234,166,44,113,56,93,3,25,7,24,24,0
36005028500,2028500,3440,3428,12,0,571,1482,1384,221,222,33,98,1743,1654,89
36005028600,2028600,1395,1395,0,0,321,445,619,66,206,32,27,580,530,50
36005028700,2028700,3953,3715,238,0,973,2510,670,320,328,46,79,1374,1322,52
36005028800,2028800,3055,3045,10,0,510,614,1833,92,441,45,30,1254,1183,71
36005028900,2028900,4736,4618,118,112,978,3325,819,287,198,31,76,1934,1843,91
36005029301,2029301,1954,1762,192,192,196,392,1265,97,96,9,95,1033,958,75
36005029302,2029302,5248,5134,114,114,765,1136,3034,534,300,68,176,2892,2702,190
36005029500,2029500,4615,4598,17,0,896,1433,2238,342,356,57,189,2245,2098,147
36005029600,2029600,2878,1966,912,28,353,782,936,367,667,43,83,1014,986,28
36005029700,2029700,4005,3605,400,322,737,922,2337,246,313,54,133,1848,1659,189
36005030000,2030000,6591,6571,20,0,1336,3214,2062,492,580,93,150,2837,2716,121
36005030100,2030100,1627,1271,356,332,239,455,823,174,109,23,43,680,652,28
36005030201,2030201,4048,4039,9,0,650,1032,212,2601,49,49,105,1864,1810,54
36005030202,2030202,6063,6022,41,0,977,1464,208,4116,71,42,162,2747,2667,80
36005030701,2030701,5799,5775,24,0,1215,1026,3998,325,224,70,156,2949,2726,223
36005030900,2030900,3947,2773,1174,808,590,707,2628,329,141,69,73,1419,1286,133
36005031000,2031000,4372,3710,662,628,737,1612,1212,729,636,50,133,1290,1224,66
36005031200,2031200,1555,1555,0,0,284,555,483,241,213,39,24,598,565,33
36005031400,2031400,2071,1882,189,177,399,757,625,263,333,27,66,694,638,56
36005031600,2031600,2071,2053,18,0,419,675,672,291,354,43,36,721,694,27
36005031800,2031800,1961,1807,154,154,341,702,587,295,286,41,50,660,611,49
36005031900,2031900,454,44,410,0,13,136,206,66,17,24,5,13,12,1
36005032300,2032300,5001,4941,60,15,673,1249,2737,538,262,60,155,2909,2694,215
36005032400,2032400,3113,3088,25,10,718,1531,439,847,149,46,101,1315,1266,49
36005032600,2032600,3494,3298,196,181,670,1101,1099,452,710,50,82,1224,1160,64
36005032800,2032800,4133,4120,13,0,1033,2150,727,794,314,31,117,1526,1481,45
36005033000,2033000,5837,5808,29,4,1375,2672,1671,980,344,75,95,2228,2149,79
36005033201,2033201,4103,4041,62,0,838,2565,628,691,106,46,67,1928,1822,106
36005033202,2033202,4204,3800,404,404,799,2324,460,1130,167,45,78,1657,1598,59
36005033400,2033400,69,56,13,0,18,30,6,31,0,1,1,23,20,3
36005033500,2033500,2440,1968,472,104,444,477,1578,153,120,25,87,884,834,50
36005033601,2033601,4306,4306,0,0,971,2182,116,1743,96,72,97,2001,1889,112
36005033602,2033602,1555,1544,11,0,344,747,92,670,8,15,23,645,621,24
