ed,hochul,zeldin,gov_votes,voters_nov22
52087,6.0,0.0,6.0,10.0
52088,0.0,0.0,0.0,
52089,0.0,0.0,0.0,
52090,0.0,0.0,0.0,
52091,0.0,0.0,0.0,
52092,0.0,0.0,0.0,
52093,0.0,0.0,0.0,
52094,0.0,0.0,0.0,
52095,0.0,0.0,0.0,
52096,0.0,0.0,0.0,
52097,0.0,0.0,0.0,
52098,0.0,0.0,0.0,
53001,344.0,59.0,411.0,1460.0
53002,368.0,32.0,400.0,1395.0
53003,303.0,66.0,373.0,1429.0
53004,341.0,42.0,386.0,1443.0
53005,263.0,52.0,319.0,1292.0
53006,262.0,37.0,321.0,1367.0
53007,229.0,33.0,272.0,994.0
53008,349.0,41.0,394.0,1363.0
53009,259.0,50.0,314.0,1119.0
53010,360.0,58.0,422.0,1484.0
53011,292.0,53.0,352.0,1234.0
53012,349.0,55.0,411.0,1246.0
53013,381.0,47.0,433.0,1240.0
53014,345.0,37.0,384.0,1185.0
53015,314.0,62.0,377.0,1217.0
53016,334.0,37.0,380.0,1322.0
53017,445.0,37.0,488.0,1532.0
53018,409.0,39.0,456.0,1382.0
53019,400.0,48.0,449.0,1485.0
53020,495.0,45.0,550.0,1579.0
53021,440.0,60.0,511.0,1560.0
53022,426.0,41.0,469.0,1545.0
53023,314.0,33.0,347.0,1006.0
53024,378.0,37.0,421.0,1389.0
53025,326.0,40.0,372.0,1133.0
53026,363.0,65.0,434.0,1300.0
53027,349.0,37.0,389.0,1257.0
53028,336.0,36.0,376.0,1289.0
53029,369.0,51.0,430.0,1187.0
53030,278.0,14.0,298.0,1059.0
53031,355.0,29.0,390.0,1019.0
53032,275.0,58.0,335.0,1230.0
53033,224.0,21.0,249.0,1226.0
53034,129.0,16.0,148.0,1003.0
53035,211.0,27.0,240.0,1263.0
53036,336.0,68.0,417.0,1380.0
53037,149.0,607.0,764.0,1561.0
53038,307.0,156.0,464.0,1306.0
53039,288.0,149.0,440.0,1136.0
53040,328.0,138.0,471.0,1321.0
53041,461.0,114.0,580.0,1421.0
53042,159.0,35.0,196.0,1321.0
53043,398.0,30.0,435.0,1155.0
53044,318.0,53.0,380.0,1214.0
53045,301.0,51.0,357.0,1158.0
53046,376.0,56.0,437.0,1305.0
53047,299.0,39.0,344.0,1194.0
53048,342.0,28.0,375.0,1154.0
53049,344.0,61.0,410.0,1294.0
53050,341.0,84.0,429.0,1447.0
53051,241.0,84.0,333.0,1218.0
53052,378.0,56.0,446.0,1593.0
53053,462.0,40.0,505.0,1492.0
53054,398.0,27.0,428.0,1190.0
53055,348.0,58.0,413.0,1198.0
53056,392.0,55.0,453.0,1499.0
53057,173.0,30.0,214.0,859.0
53058,226.0,30.0,261.0,766.0
53059,219.0,22.0,248.0,867.0
53060,675.0,66.0,752.0,1577.0
53061,602.0,54.0,661.0,1226.0
53062,331.0,51.0,390.0,1554.0
54001,49.0,21.0,70.0,433.0
54002,142.0,52.0,194.0,1382.0
54003,77.0,31.0,111.0,729.0
54004,205.0,36.0,249.0,1208.0
54005,139.0,10.0,150.0,774.0
54006,182.0,22.0,205.0,827.0
54007,173.0,80.0,255.0,1450.0
54008,146.0,43.0,198.0,965.0
54009,133.0,60.0,196.0,1150.0
54010,169.0,30.0,201.0,802.0
54011,191.0,38.0,232.0,1175.0
54012,195.0,29.0,227.0,1150.0
54013,232.0,30.0,262.0,1102.0
54014,218.0,33.0,254.0,1055.0
54015,232.0,33.0,268.0,1181.0
54016,9.0,4.0,13.0,69.0
54017,202.0,37.0,240.0,872.0
54018,187.0,28.0,218.0,1045.0
54019,129.0,31.0,161.0,773.0
54020,107.0,20.0,128.0,665.0
54021,123.0,30.0,155.0,829.0
54022,131.0,35.0,171.0,1068.0
54023,184.0,55.0,240.0,1415.0
54024,115.0,45.0,162.0,1017.0
54025,137.0,68.0,206.0,1410.0
54026,143.0,51.0,198.0,1037.0
54027,174.0,63.0,243.0,1408.0
54028,171.0,79.0,252.0,1190.0
54029,221.0,75.0,300.0,1414.0
54030,148.0,65.0,216.0,1282.0
54031,221.0,91.0,319.0,1628.0
54032,161.0,50.0,214.0,1313.0
54033,259.0,54.0,317.0,1376.0
54034,212.0,70.0,286.0,1254.0
54035,253.0,66.0,323.0,1324.0
54036,362.0,51.0,423.0,1763.0
54037,283.0,31.0,318.0,1032.0
54038,455.0,29.0,485.0,1376.0
54039,382.0,25.0,412.0,1394.0
54040,361.0,33.0,396.0,1334.0
54041,325.0,19.0,351.0,1279.0
54042,275.0,35.0,314.0,1063.0
54043,343.0,35.0,381.0,1275.0
54044,350.0,24.0,382.0,1418.0
54045,334.0,53.0,392.0,1346.0
54046,266.0,34.0,302.0,1055.0
54047,282.0,35.0,321.0,1274.0
54048,270.0,66.0,342.0,1303.0
54049,254.0,45.0,299.0,1143.0
54050,293.0,39.0,339.0,1237.0
54051,280.0,51.0,336.0,1225.0
54052,204.0,35.0,242.0,1016.0
54053,247.0,24.0,272.0,1043.0
54054,283.0,22.0,308.0,1014.0
54055,265.0,33.0,301.0,1107.0
54056,287.0,38.0,333.0,1118.0
54057,265.0,46.0,320.0,1202.0
54058,12.0,2.0,14.0,77.0
54059,0.0,0.0,0.0,4.0
54060,47.0,1.0,48.0,173.0
54061,0.0,0.0,0.0,
55001,443.0,24.0,471.0,1247.0
55002,311.0,19.0,332.0,1111.0
55003,335.0,23.0,362.0,1126.0
55004,27.0,3.0,30.0,86.0
55005,385.0,20.0,408.0,1193.0
55006,264.0,12.0,279.0,895.0
55007,358.0,17.0,380.0,1164.0
55008,450.0,20.0,473.0,1291.0
55009,364.0,19.0,389.0,1172.0
55010,372.0,16.0,390.0,1181.0
55011,220.0,11.0,236.0,985.0
55012,350.0,8.0,366.0,1077.0
55013,313.0,24.0,341.0,1296.0
55014,327.0,13.0,340.0,1162.0
55015,359.0,43.0,410.0,1517.0
55016,0.0,0.0,0.0,3.0
55017,28.0,8.0,36.0,176.0
55018,10.0,0.0,10.0,105.0
55019,165.0,22.0,190.0,866.0
55020,218.0,20.0,244.0,1274.0
55021,27.0,7.0,34.0,226.0
55022,94.0,8.0,103.0,394.0
55023,228.0,17.0,251.0,1470.0
55024,264.0,24.0,292.0,1444.0
55025,258.0,24.0,292.0,1696.0
55026,240.0,21.0,266.0,1399.0
55027,176.0,11.0,193.0,1033.0
55028,223.0,16.0,243.0,949.0
55029,292.0,27.0,324.0,1003.0
55030,300.0,23.0,327.0,1385.0
55031,24.0,0.0,25.0,98.0
55032,303.0,16.0,322.0,1359.0
55033,396.0,18.0,417.0,1487.0
55034,133.0,8.0,143.0,641.0
55035,135.0,8.0,144.0,468.0
55036,369.0,11.0,385.0,1414.0
55037,53.0,5.0,58.0,275.0
55038,280.0,25.0,313.0,1285.0
55039,308.0,33.0,343.0,1054.0
55040,205.0,25.0,232.0,950.0
55041,235.0,22.0,261.0,1089.0
55042,206.0,17.0,226.0,1387.0
55043,152.0,10.0,163.0,859.0
55044,300.0,16.0,317.0,1197.0
55045,411.0,24.0,439.0,1513.0
55046,187.0,8.0,200.0,873.0
55047,346.0,31.0,383.0,1288.0
55048,374.0,29.0,412.0,1645.0
55049,373.0,28.0,405.0,1725.0
55050,305.0,11.0,319.0,1552.0
55051,466.0,43.0,515.0,1619.0
55052,363.0,24.0,394.0,1586.0
55053,298.0,21.0,325.0,1197.0
55054,80.0,2.0,82.0,300.0
55055,220.0,19.0,243.0,1026.0
55056,395.0,17.0,415.0,1406.0
55057,350.0,18.0,372.0,1485.0
