ct,tot_,moe_,tot_asian_indian,moe_asian_indian,tot_bangladeshi,moe_bangladeshi,tot_bhutanese,moe_bhutanese,tot_burmese,moe_burmese,tot_cambodian,moe_cambodian,"tot_chinese,_except_taiwanese","moe_chinese,_except_taiwanese",tot_filipino,moe_filipino,tot_hmong,moe_hmong,tot_indonesian,moe_indonesian,tot_japanese,moe_japanese,tot_korean,moe_korean,tot_laotian,moe_laotian,tot_malaysian,moe_malaysian,tot_mongolian,moe_mongolian,tot_nepalese,moe_nepalese,tot_okinawan,moe_okinawan,tot_pakistani,moe_pakistani,tot_sri_lankan,moe_sri_lankan,tot_taiwanese,moe_taiwanese,tot_thai,moe_thai,tot_vietnamese,moe_vietnamese,"tot_other_asian,_specified","moe_other_asian,_specified","tot_other_asian,_not_specified","moe_other_asian,_not_specified"
36061014801,172,84,91,72,0,13,0,13,0,13,0,13,17,17,8,14,0,13,0,13,25,27,24,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,7,12
36061014802,631,305,180,149,0,18,0,18,0,18,0,18,152,144,85,99,0,18,0,18,116,118,18,27,0,18,0,18,0,18,0,18,0,18,0,18,0,18,39,63,0,18,0,18,0,18,41,70
36061014900,752,382,1,3,0,18,0,18,0,18,0,18,210,117,269,320,0,18,0,18,54,42,63,78,0,18,0,18,7,14,0,18,0,18,61,89,0,18,16,25,0,18,71,109,0,18,0,18
36061015001,81,64,7,11,0,13,0,13,0,13,0,13,20,21,0,13,0,13,0,13,42,55,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,3,7,0,13,9,17,0,13,0,13
36061015002,305,176,85,115,0,13,0,13,0,13,0,13,122,102,15,27,0,13,0,13,0,13,24,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,59,87
36061015101,306,187,89,149,0,13,0,13,0,13,0,13,217,148,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061015102,2046,760,344,275,0,18,0,18,0,18,0,18,753,502,0,18,0,18,0,18,174,198,487,389,0,18,0,18,0,18,0,18,0,18,245,321,0,18,43,57,0,18,0,18,0,18,0,18
36061015200,1013,354,140,141,0,18,0,18,127,196,0,18,357,270,31,40,0,18,0,18,155,131,41,63,0,18,83,77,0,18,0,18,0,18,59,90,0,18,0,18,0,18,0,18,0,18,20,30
36061015301,340,238,48,62,0,13,0,13,0,13,0,13,52,61,106,173,0,13,0,13,20,32,71,83,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26,42,0,13,0,13,0,13,17,40
36061015302,854,351,7,24,0,18,0,18,0,18,0,18,163,134,112,139,0,18,0,18,184,183,270,365,0,18,0,18,0,18,0,18,0,18,0,18,19,30,68,116,10,17,21,36,0,18,0,18
36061015401,522,67,33,55,0,18,0,18,0,18,0,18,489,40,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36061015402,598,642,137,171,0,13,0,13,0,13,0,13,122,164,153,153,0,13,0,13,104,162,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,82,138,0,13,0,13
36061015403,692,349,0,18,0,18,0,18,0,18,0,18,455,239,234,300,0,18,0,18,0,18,3,6,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
