ct,ccd
36081014000,29
36081014201,29
36081014202,29
36081014300,22
36081014400,29
36081014500,22
36081014700,22
36081014800,29
36081014900,22
36081015000,29
36081015100,22
36081015200,29
36081015300,22
36081015400,29
36081015600,29
36081015700,26
36081015801,28
36081015802,28
36081016100,22
36081016300,26
36081016400,28
36081016800,28
36081016900,26
36081017000,28
36081017102,26
36081017200,28
36081017400,28
36081017600,28
36081017800,28
36081017901,26
36081017902,26
36081018000,28
36081018101,26
36081018102,26
36081018200,28
36081018300,26
36081018401,28
36081018402,28
36081018501,26
36081018502,26
36081018600,28
36081018700,26
36081018800,28
36081018900,26
36081019000,28
36081019200,28
36081019400,28
36081019600,28
36081019800,28
36081019901,26
36081019902,26
36081019903,26
36081020200,28
36081020400,28
36081020500,26
36081020600,27
36081020800,27
36081021200,24
36081021400,24
36081021601,29
36081021602,29
36081021603,29
36081022001,24
36081022002,24
36081023000,24
36081023200,24
36081023501,26
36081023502,26
36081023600,24
36081023800,27
36081024000,27
36081024600,27
36081025100,26
36081025301,26
36081025302,26
36081025401,28
36081025402,28
36081025500,26
36081025700,26
36081025800,27
36081025900,26
36081026000,28
36081026200,28
36081026400,28
36081026600,28
36081026700,25
36081026901,25
36081026902,25
36081027000,28
36081027101,25
36081027102,25
36081027200,28
36081027301,21
36081027302,21
36081027400,28
36081027500,25
36081027600,28
36081027701,21
36081027702,25
36081027800,28
36081027900,25
36081028000,28
36081028100,25
36081028200,28
36081028300,25
36081028400,28
36081028500,25
36081028700,25
36081028801,28
36081028802,28
36081028900,25
36081029500,25
36081030903,25
36081032700,25
36081032800,31
36081033000,31
36081033401,27
36081033403,28
36081033404,28
36081033405,28
36081033700,25
36081033900,25
36081035100,25
36081035200,27
36081035300,21
36081035800,31
36081036100,21
36081036300,21
36081036500,21
36081036600,27
36081036700,21
36081036800,27
36081037300,21
36081037501,21
36081037502,21
36081037600,27
36081037700,21
36081037900,21
36081038301,21
36081038400,27
36081039400,27
36081039800,27
36081039901,21
36081039902,21
36081040000,27
36081040101,21
36081040102,21
36081040200,27
36081040301,21
36081040302,21
36081040400,27
36081040501,21
36081040502,21
36081040701,21
36081040702,21
36081040901,21
36081040902,21
36081041100,21
36081041300,21
36081041400,27
36081041500,21
36081042700,21
36081043701,21
36081043702,21
36081043900,21
36081044000,27
36081044301,21
36081044302,21
36081044400,27
36081044601,27
36081044602,24
36081044800,24
36081045000,24
36081045600,24
36081045700,25
36081045900,25
36081046000,27
36081046100,25
36081046400,24
36081046500,21
36081046700,25
36081046800,23
36081046901,25
36081046902,21
36081047000,23
36081047200,24
36081047300,25
36081047801,23
36081047802,23
36081048000,23
36081048100,25
36081048200,23
36081048400,23
36081049201,23
36081049202,23
36081049301,30
36081049302,30
36081049500,30
36081049600,23
36081049700,30
36081050000,27
36081050201,27
36081050202,27
36081050400,27
36081050500,30
36081050600,27
36081050800,27
36081051000,27
36081051200,27
36081051300,30
36081051600,27
36081051700,30
36081051800,27
36081052000,27
36081052100,30
36081052200,27
36081052400,27
36081052600,27
36081052800,27
36081053000,27
36081053100,30
36081053200,27
36081053401,27
36081053601,27
36081053800,27
36081053901,34
36081053902,34
36081054000,27
36081054200,23
36081054500,34
36081054700,34
36081054800,23
36081054900,34
36081055100,30
36081055200,23
36081055300,34
36081055400,23
36081055500,34
36081055600,23
36081055700,34
36081055800,23
36081055900,34
36081056100,32
36081056200,23
36081056500,30
36081056600,23
36081056700,30
36081057700,30
36081057900,30
36081058200,27
36081058500,30
36081058700,30
36081058900,30
36081059000,27
36081059100,30
36081059300,30
36081059400,27
36081059501,30
36081059600,27
36081059800,27
36081059900,30
36081060000,27
36081060600,27
36081060800,27
36081061000,27
36081061200,27
36081061302,30
36081061400,27
36081061601,31
36081061602,31
36081061800,31
36081061900,30
36081062300,32
36081062500,32
36081062600,31
36081062700,30
36081062900,32
36081063200,31
36081063301,32
36081064101,32
36081064500,29
36081064600,31
36081065000,31
36081065401,31
36081065402,31
36081065600,31
36081065702,30
36081065703,30
36081066000,31
36081066301,30
36081066302,30
36081066402,31
36081066403,31
36081066701,30
36081067100,30
36081067700,30
36081067900,30
36081068200,31
36081068300,25
36081069300,30
36081069500,30
36081069701,30
36081069702,30
36081070300,30
36081070700,29
36081070900,29
36081071303,29
36081071304,29
36081071305,29
36081071701,24
36081071900,24
36081072100,29
36081072300,29
36081072900,29
36081073700,29
36081073900,29
36081074100,29
36081074300,29
36081074500,24
36081074700,24
36081075701,29
36081075702,29
36081077902,24
36081077903,24
36081077904,24
36081077905,24
36081077906,24
36081077907,24
36081077908,24
36081078800,28
36081079000,28
36081079200,28
36081079300,24
36081079701,20
36081079702,20
36081079900,20
36081080301,20
36081080302,20
36081081400,28
36081081800,28
36081083700,20
36081083800,28
36081084000,28
36081084500,20
36081084601,28
36081084602,28
36081084901,20
36081084902,20
36081085700,20
36081085900,20
36081086100,20
36081086400,28
36081086500,20
36081086900,20
36081087100,20
36081088902,20
36081088903,20
36081089202,32
36081091602,32
36081091603,32
36081091604,32
36081091800,32
36081092200,32
36081092500,19
36081092800,32
36081092900,19
36081093401,32
36081093402,32
36081093800,32
36081094203,32
36081094500,19
36081094700,19
36081097204,31
36081097205,31
36081097206,31
36081097207,31
36081099703,19
36081099704,19
36081099705,19
36081099801,31
36081099802,31
36081099900,19
36081100801,31
36081100803,31
36081100804,31
36081101002,31
36081101003,31
36081101004,31
36081103201,31
36081103202,31
36081103300,19
36081103900,19
36081104700,19
36081105900,19
36081108500,19
36081109300,19
36081109700,19
36081109900,19
36081113300,19
36081113900,19
36081114100,19
36081114700,19
36081115100,19
36081115500,20
36081115700,20
36081115900,20
36081116100,20
36081116301,20
36081117100,19
36081117500,19
36081118100,19
36081118500,20
36081118700,20
36081118900,20
36081119100,20
36081119300,19
36081119500,19
36081119900,20
36081120100,20
36081120300,20
36081120500,20
36081120701,20
36081120702,20
36081121100,20
36081121500,20
36081122300,24
36081122703,24
36081122704,24
36081124100,24
36081124700,24
36081126500,24
36081129102,23
36081129104,23
36081130100,23
36081133900,24
36081134100,24
36081134701,23
36081134702,23
36081136700,23
36081137700,23
36081138501,23
36081140300,23
36081140901,20
36081140902,20
36081141700,20
36081142900,20
36081144100,23
36081144700,19
36081145101,19
36081145102,20
36081145900,19
36081146300,19
36081146700,19
36081147100,19
36081147900,19
36081150701,19
36081150702,19
36081152902,23
36081155101,23
36081155103,23
36081155104,23
36081157902,23
36005036100,15
36005012701,17
36005015900,17
36005020502,14
36005039902,15
36005000400,18
36081093900,19
36005042600,12
36061003800,2
36061005700,2
36061001001,1
36061002901,1
36061002700,1
36061002902,1
36061001502,1
36061004800,2
36061004400,4
36061006400,2
36061022900,7
36061017800,8
36061000500,1
36061031900,1
36081008700,22
36081071600,31
36081094201,32
36081094202,31
36081111300,19
36081148300,19
36081080900,24
36081122702,24
36081125700,24
36081126700,24
36081139900,23
36081143500,23
36081157901,23
36081157903,23
36081042400,27
36081043400,27
36081042600,27
36081043200,27
36081045200,24
36081045400,24
36081005900,22
36081006100,22
36081058100,30
36081058300,30
36061023501,9
36081047900,30
36081062400,31
36081062000,31
36081063000,31
36005019300,16
36061021900,7
36061022302,7
36081133300,23
36061011600,5
36061012400,5
36005021200,18
36005022200,18
36081065501,30
36061027900,10
36061028300,10
36061028500,10
36061014401,5
36061000800,1
36061001600,1
36081037100,21
36005008900,17
36061028700,10
36061001200,1
36081112300,19
36081112900,19
36005042901,11
36005043102,11
36081026300,26
36081013600,29
36081005400,32
36081008600,32
36081066401,31
36081066404,31
36081066900,30
36081030600,31
36081048500,25
36081012500,22
36005038900,15
36005029301,11
36005029302,11
36081013000,29
36081073100,29
36081074900,29
36005042500,11
36081026502,26
36081026501,25
36081048301,25
36005002800,18
36005005200,17
36081066100,30
36081065900,30
36081066501,30
36005020000,18
36005025600,13
36081102900,19
36081097300,19
36081098100,19
36081060100,30
36081063302,32
36081063500,32
36081062100,30
36081063700,32
36081077500,29
36005039700,15
36005039300,15
36005029700,11
36081063900,32
36081064102,32
36081046300,25
36081047100,25
36005035000,12
36005035800,12
36005024000,13
36081077300,29
36081024900,26
36081026100,26
36061021000,9
36061021200,9
36005027600,13
36061015502,6
36081010701,22
36081012301,22
36005037800,12
36081085300,20
36005026900,14
36081161700,23
36081035700,21
36005009301,17
36005023501,14
36005023502,15
36081099701,19
36081101700,19
36005023702,15
36005039901,15
36005023703,14
36005040100,14
36005016900,16
36081085500,20
36081086300,20
36061030700,10
36005014702,16
36081028803,28
36081029400,28
36005014300,16
36005018501,16
36081004401,32
36081005800,32
36061020101,7
36061020300,7
36081116302,20
36081116700,20
36081090700,19
36081091900,19
36081000103,26
36081029700,22
36061018500,7
36081022900,26
36081051500,30
36081000102,26
36061023804,5
36061018900,7
36061019100,7
36081030906,25
36081098700,19
36081099100,19
36061013700,6
36061013900,6
36061014500,6
36061027700,10
36081010600,28
36081016600,28
36061001002,2
36005003300,8
36081056000,23
36081162100,23
36081097202,31
36081099200,31
36081045800,24
36081046200,27
36081046600,24
36061022700,9
36061025900,9
36061006000,4
36005001901,8
36081015500,22
36081015900,22
36061002400,2
36061002000,2
36005009000,18
36005009800,18
36081000101,26
36081107201,32
36005020100,16
36005020501,14
36061007900,3
36061009901,3
36061014601,5
36061014602,5
36061014802,4
36061026100,10
36061025300,10
36061026300,10
36061019800,9
36061019000,9
36061020000,9
36061027300,10
36061027500,10
36061000700,1
36061000900,1
36061003001,1
36061005900,2
36061006100,2
36061004200,2
36061005000,2
36061008603,4
36061010601,4
36061012800,4
36061004700,1
36061004900,1
36061013203,5
36061013400,5
36061010602,5
36061011000,5
36061013800,5
36061014000,4
36061013603,5
36061013604,5
36061014402,5
36061014200,4
36061002202,2
36061003002,2
36061018200,8
36061018800,8
36061017900,6
36061018300,6
36061016800,8
36081045500,21
36081071702,24
36005006700,17
36005006900,17
36005003100,8
36005038304,15
36005036502,15
36005036700,15
36005002001,18
36005002400,18
36005004300,8
36005007700,17
36061023000,9
36061023200,9
36005043502,11
36005043503,11
36005022401,13
36005023000,13
36081095400,31
36081096400,31
36061020901,7
36061025700,9
36061019701,7
36061020102,9
36005015500,17
36005038500,15
36005039500,15
36005028300,11
36005028500,11
36061006200,4
36061006600,2
36061005600,2
36061007400,4
36081009100,22
36061015200,5
36081033100,21
36081076901,29
36081076902,29
36081029900,22
36081031700,22
36061001501,1
36061002500,1
36005027401,13
36005027402,13
36081071100,29
36081071306,29
36061016700,6
36081059200,27
36081062200,27
36081000104,26
36081063800,31
36081129103,23
36061023802,5
36061023803,5
36061023300,7
36061023700,7
36005041400,11
36005041800,11
36081053501,30
36081052500,30
36081059502,30
36005016500,15
36005016700,15
36081002500,26
36061021400,9
36061023600,9
36005041100,11
36005041300,14
36005030202,12
36005046205,12
36081156700,23
36081157101,23
36081157102,23
36005043501,11
36005045101,11
36005028400,13
36081000701,26
36081001901,26
36061012902,3
36061013501,3
36061013502,6
36005014500,16
36005014701,16
36081001903,26
36081003301,26
36061011500,3
36081008800,32
36081006202,32
36061015900,6
36061016300,6
36085000300,49
36085000600,49
36085000700,49
36085000800,49
36085000900,49
36085001100,49
36085001700,49
36085001800,50
36085002001,49
36085002002,50
36085002100,49
36085002700,49
36085002900,49
36085003300,49
36085003600,49
36085003900,49
36085004001,49
36085004002,49
36085004003,49
36085004004,49
36085004700,49
36085005000,50
36085005902,49
36085006400,50
36085006700,49
36085007001,50
36085007002,50
36085007400,50
36085008100,49
36085009601,50
36085009602,50
36085009701,49
36085009702,49
36085010500,49
36085011201,50
36085011203,50
36085011204,50
36085011401,50
36085011402,50
36085012100,49
36085012200,50
36085012500,49
36085012804,50
36085012805,50
36085012806,50
36085013301,49
36085013302,49
36085013400,50
36085014607,51
36085014608,51
36085015100,50
36085015400,51
36085015601,51
36085015602,51
36085015603,51
36085016901,49
36085017005,51
36085017007,51
36085017009,51
36085017011,51
36085017012,51
36085017013,51
36085017014,51
36085017015,51
36085017300,50
36085017600,51
36085017701,50
36085017702,50
36085018100,50
36085018701,50
36085018703,50
36085018704,50
36085018901,50
36085018902,50
36085019700,50
36085020100,50
36085020701,49
36085020702,49
36085020804,51
36085020805,51
36085020806,51
36085022300,49
36085022601,51
36085022602,51
36085022801,51
36085023100,49
36085023900,49
36085024401,51
36085024402,51
36085024800,51
36085025100,50
36085027301,50
36085027302,50
36085027702,51
36085027704,51
36085027705,51
36085027706,51
36085027900,51
36085029102,50
36085029104,50
36085029105,50
36085030301,49
36085030302,49
36085031901,49
36085031902,49
36085032300,49
36047000100,33
36047000200,38
36047000301,33
36047000501,33
36047000502,33
36047000700,33
36047000900,33
36047001100,33
36047001501,35
36047001502,33
36047001802,38
36047001803,38
36047001804,38
36047002000,38
36047002200,38
36047002300,33
36047002901,35
36047003000,47
36047003101,35
36047003102,35
36047003300,35
36047003400,47
36047003500,35
36047003600,47
36047003700,33
36047003800,47
36047003900,33
36047004100,33
36047004300,33
36047004400,47
36047004500,39
36047004600,47
36047004700,39
36047004900,39
36047005000,47
36047005201,47
36047005202,47
36047005301,38
36047005302,38
36047005400,47
36047005601,47
36047005602,47
36047005800,47
36047006000,47
36047006200,47
36047006400,47
36047006500,39
36047006600,47
36047006700,39
36047006800,47
36047006901,33
36047006902,39
36047007000,47
36047007100,39
36047007200,38
36047007400,38
36047007600,38
36047007800,38
36047008000,38
36047008200,38
36047008400,38
36047008500,38
36047008600,38
36047008800,38
36047009001,38
36047009002,38
36047009201,38
36047009202,38
36047009401,38
36047009402,38
36047009600,38
36047009800,43
36047010000,43
36047010200,38
36047010401,43
36047010402,43
36047010601,43
36047010602,43
36047010801,43
36047010802,43
36047011000,38
36047011200,38
36047011400,38
36047011600,43
36047011800,38
36047011901,39
36047011902,38
36047012000,38
36047012100,39
36047012200,38
36047012600,47
36047012700,39
36047012801,38
36047012901,39
36047012902,39
36047013000,47
36047013100,39
36047013200,38
36047013300,39
36047013400,47
36047013500,39
36047013600,47
36047013700,39
36047013800,47
36047013900,38
36047014000,47
36047014101,38
36047014200,47
36047014700,39
36047014800,50
36047014901,39
36047014902,39
36047015000,50
36047015100,39
36047015200,50
36047015300,39
36047015400,50
36047015500,39
36047015700,39
36047015900,39
36047016000,47
36047016100,35
36047016200,47
36047016300,35
36047016400,50
36047016500,39
36047016600,50
36047016700,39
36047016800,50
36047016900,39
36047017000,50
36047017200,50
36047017400,47
36047017500,38
36047017600,47
36047017800,38
36047017900,35
36047018000,47
36047018100,35
36047018200,38
36047018300,35
36047018400,47
36047018501,35
36047018600,38
36047018700,35
36047018800,38
36047019000,38
36047019100,35
36047019200,44
36047019300,35
36047019400,43
36047019500,35
36047019600,38
36047019700,35
36047019800,38
36047019900,35
36047020000,38
36047020100,35
36047020200,38
36047020300,35
36047020400,38
36047020500,35
36047020600,38
36047020700,35
36047020800,38
36047021000,43
36047021100,35
36047021200,43
36047021300,35
36047021400,43
36047021500,35
36047021600,44
36047021700,35
36047021800,44
36047021900,35
36047022000,44
36047022100,35
36047022200,44
36047022400,39
36047022600,39
36047022700,36
36047022800,39
36047022900,36
36047023000,39
36047023100,35
36047023200,44
36047023300,36
36047023400,44
36047023500,33
36047023600,44
36047023800,44
36047024000,44
36047024100,33
36047024200,44
36047024300,36
36047024400,44
36047024500,36
36047024600,44
36047024700,36
36047024800,43
36047024900,36
36047025000,43
36047025100,36
36047025200,43
36047025300,36
36047025400,43
36047025500,36
36047025600,43
36047025700,36
36047025800,43
36047025901,36
36047025902,36
36047026000,43
36047026100,36
36047026200,43
36047026300,36
36047026400,43
36047026500,36
36047026600,43
36047026700,36
36047026800,43
36047026900,36
36047027000,43
36047027100,36
36047027200,43
36047027300,36
36047027400,43
36047027500,36
36047027600,43
36047027700,36
36047027800,38
36047027900,36
36047028000,47
36047028100,36
36047028200,47
36047028300,36
36047028400,38
36047028501,36
36047028502,36
36047028600,47
36047028700,36
36047028800,43
36047029000,43
36047029100,36
36047029200,47
36047029300,36
36047029400,47
36047029500,36
36047029600,43
36047029700,36
36047029800,43
36047029900,41
36047030000,43
36047030100,41
36047030200,43
36047030300,41
36047030400,47
36047030500,35
36047030600,47
36047030700,41
36047030800,47
36047030900,36
36047031100,36
36047031300,36
36047031401,47
36047031402,47
36047031500,36
36047031701,36
36047031702,35
36047031900,35
36047032100,35
36047032300,35
36047032500,35
36047032600,47
36047032800,47
36047032900,40
36047033000,47
36047033100,35
36047033300,35
36047033500,35
36047033600,47
36047033701,35
36047033702,35
36047033900,35
36047034000,47
36047034100,36
36047034200,47
36047034300,36
36047034500,36
36047034700,36
36047034800,47
36047034901,41
36047034902,41
36047035000,48
36047035101,35
36047035102,35
36047035200,47
36047035301,35
36047035302,35
36047035500,41
36047035601,48
36047035602,48
36047035701,41
36047035702,41
36047035900,41
36047036001,48
36047036002,48
36047036100,41
36047036200,48
36047036300,41
36047036400,48
36047036501,41
36047036502,37
36047036700,37
36047036900,37
36047037000,48
36047037100,41
36047037300,41
36047037401,47
36047037402,47
36047037500,41
36047037700,41
36047037900,41
36047038100,41
36047038200,47
36047038300,41
36047038500,41
36047038600,44
36047038800,44
36047038900,34
36047039000,48
36047039100,34
36047039200,48
36047039400,48
36047039600,44
36047039700,37
36047039800,44
36047039900,37
36047040000,44
36047040100,37
36047040200,43
36047040300,37
36047040400,43
36047040500,37
36047040600,43
36047040700,37
36047040800,43
36047040900,37
36047041000,44
36047041100,37
36047041200,44
36047041300,37
36047041401,44
36047041402,44
36047041500,37
36047041600,48
36047041700,37
36047041800,44
36047041900,37
36047042000,44
36047042100,37
36047042200,44
36047042300,34
36047042400,44
36047042500,34
36047042600,43
36047042700,34
36047042800,43
36047042900,34
36047043000,43
36047043100,37
36047043200,43
36047043300,37
36047043400,44
36047043500,37
36047043600,44
36047043700,37
36047043800,44
36047043900,37
36047044000,44
36047044100,37
36047044200,44
36047044300,37
36047044400,44
36047044500,37
36047044600,44
36047044700,34
36047044800,44
36047044901,34
36047044902,34
36047045000,44
36047045200,44
36047045300,34
36047045400,44
36047045600,44
36047045800,44
36047046000,45
36047046201,40
36047046202,44
36047046400,44
36047046800,44
36047047000,44
36047047200,44
36047047400,44
36047047600,44
36047047700,34
36047047800,44
36047048000,40
36047048100,34
36047048200,40
36047048400,40
36047048500,34
36047048600,39
36047048800,39
36047048900,34
36047049000,39
36047049100,34
36047049200,39
36047049301,34
36047049302,34
36047049400,39
36047049500,34
36047049600,39
36047049700,34
36047049800,39
36047049900,33
36047050002,39
36047050100,34
36047050300,34
36047050401,40
36047050402,40
36047050500,34
36047050700,33
36047050801,40
36047050804,40
36047050900,33
36047051001,40
36047051002,40
36047051100,34
36047051300,34
36047051400,40
36047051500,33
36047051601,45
36047051602,40
36047051700,33
36047051800,40
36047051900,34
36047052000,40
36047052300,34
36047052500,34
36047052600,40
36047052700,34
36047052800,45
36047052900,33
36047053000,44
36047053101,33
36047053102,33
36047053200,44
36047053300,33
36047053400,44
36047053500,34
36047053700,33
36047053800,44
36047053900,33
36047054200,48
36047054400,48
36047054600,48
36047054700,34
36047054800,48
36047054900,34
36047055000,48
36047055100,34
36047055200,48
36047055300,34
36047055400,48
36047055500,33
36047055600,48
36047055700,33
36047055800,48
36047056000,48
36047056100,33
36047056200,48
36047056301,33
36047056302,33
36047056400,48
36047056500,33
36047056600,46
36047056800,46
36047056900,33
36047057000,46
36047057100,33
36047057200,46
36047057300,33
36047057400,46
36047057500,33
36047057600,48
36047057800,48
36047057901,33
36047057902,33
36047058000,48
36047058200,48
36047058400,48
36047058600,48
36047058800,48
36047058901,33
36047058902,33
36047059000,48
36047059100,33
36047059200,48
36047059300,33
36047059402,48
36047059403,48
36047059404,48
36047059600,48
36047059800,46
36047060000,48
36047060600,48
36047060800,48
36047061002,48
36047061003,48
36047061004,48
36047061200,48
36047061600,48
36047062000,48
36047062200,48
36047062600,46
36047062800,46
36047063200,46
36047063600,46
36047063800,46
36047064000,46
36047064200,46
36047064400,45
36047064600,45
36047064800,45
36047065000,45
36047065200,46
36047065400,46
36047065600,46
36047065800,46
36047066000,46
36047066200,46
36047066600,46
36047067000,46
36047067200,46
36047067400,46
36047067600,46
36047067800,46
36047068000,46
36047068200,46
36047068600,46
36047068800,46
36047069000,46
36047069200,46
36047069601,46
36047070000,46
36047070201,46
36047072000,46
36047072200,45
36047072400,45
36047072600,45
36047072800,46
36047073000,45
36047073200,45
36047073400,45
36047073600,45
36047073800,45
36047074000,45
36047074200,45
36047074400,45
36047074600,45
36047074800,45
36047075000,45
36047075200,45
36047075400,45
36047075600,48
36047075800,44
36047076000,45
36047076200,44
36047076400,45
36047076600,45
36047076800,44
36047077000,45
36047077200,45
36047077400,45
36047077600,45
36047078000,45
36047078200,45
36047078400,45
36047078601,45
36047078602,45
36047078801,45
36047078802,45
36047079001,45
36047079002,45
36047079201,40
36047079202,40
36047079400,40
36047079601,40
36047079602,40
36047079801,40
36047080000,40
36047080200,40
36047080400,40
36047080600,40
36047080800,40
36047081000,40
36047081400,40
36047081600,40
36047081800,40
