ct,cd,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,nta
36085015100,50,5449,1208,855,3849,90,445,29,181,Westerleigh-Castleton Corners
36085015400,51,5,0,0,3,0,0,1,1,Great Kills Park
36085015601,51,6663,1308,650,5522,45,334,30,82,Great Kills-Eltingville
36085015602,51,3396,620,219,2942,9,140,17,69,Great Kills-Eltingville
36085015603,51,4776,986,587,3647,26,415,19,82,Great Kills-Eltingville
36085016901,49,3213,671,479,1993,90,539,25,87,Westerleigh-Castleton Corners
36085017005,51,4845,980,453,3843,36,374,34,105,Annadale-Huguenot-Prince's Bay-Woodrow
36085017007,51,5526,1347,870,3287,185,1038,24,122,Arden Heights-Rossville
36085017009,51,4473,914,385,3788,24,206,20,50,Annadale-Huguenot-Prince's Bay-Woodrow
36085017011,51,4587,837,477,3612,25,401,22,50,Great Kills-Eltingville
36085017012,51,4473,871,512,3385,31,416,23,106,Great Kills-Eltingville
36085017013,51,4333,925,728,2902,99,478,26,100,Arden Heights-Rossville
36085017014,51,4327,866,579,3315,54,295,22,62,Arden Heights-Rossville
36085017015,51,2713,515,279,2204,14,126,31,59,Arden Heights-Rossville
36085017016,51,4637,1012,489,3620,14,405,9,100,Arden Heights-Rossville
36085017300,50,2535,558,533,804,511,572,19,96,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085017600,51,4932,906,302,4150,17,344,19,100,Annadale-Huguenot-Prince's Bay-Woodrow
36085017701,50,4724,896,292,3369,40,894,20,109,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085017702,50,2353,463,183,1881,15,240,11,23,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085018100,50,3569,581,350,2608,135,379,18,79,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085018701,50,1836,407,364,1074,76,240,26,56,Westerleigh-Castleton Corners
36085018703,50,3976,1010,573,1753,266,1246,34,104,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085018704,50,3780,800,423,2272,90,884,34,77,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085018901,50,5725,1097,792,3693,122,1007,21,90,Westerleigh-Castleton Corners
36085018902,50,5533,1525,501,3371,164,1309,98,90,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085019700,50,1958,410,225,1463,44,162,23,41,Westerleigh-Castleton Corners
36085019800,51,6627,1366,582,5484,64,350,23,124,Annadale-Huguenot-Prince's Bay-Woodrow
36085020100,50,3796,893,1166,2020,223,266,40,81,Westerleigh-Castleton Corners
36085020701,49,3942,1154,2054,269,1197,255,29,138,Port Richmond
36085020702,49,3436,947,1947,345,916,126,26,76,Port Richmond
36085020803,51,7348,1624,674,6049,56,374,60,135,Annadale-Huguenot-Prince's Bay-Woodrow
36085020804,51,5364,1050,469,4481,13,256,31,114,Annadale-Huguenot-Prince's Bay-Woodrow
36085020805,51,6433,1323,703,5177,55,383,27,88,Arden Heights-Rossville
36085020806,51,2714,559,297,2106,36,209,10,56,Arden Heights-Rossville
36085021300,49,5737,1430,3021,1362,879,297,53,125,Port Richmond
36085022300,49,3134,791,1244,490,1126,127,53,94,Mariner's Harbor-Arlington-Graniteville
36085022601,51,6945,1627,790,5468,89,468,19,111,Annadale-Huguenot-Prince's Bay-Woodrow
36085022602,51,1223,181,167,945,19,68,9,15,Tottenville-Charleston
36085022801,51,95,9,35,31,2,19,1,7,Freshkills Park (South)
36085022802,50,15,4,6,4,3,0,0,2,Freshkills Park (North)
36085023100,49,4959,1158,1976,848,1230,710,67,128,Mariner's Harbor-Arlington-Graniteville
36085023900,49,3605,754,1563,780,688,392,60,122,Mariner's Harbor-Arlington-Graniteville
36085024401,51,5687,1188,552,4801,39,138,36,121,Tottenville-Charleston
36085024402,51,4381,861,356,3803,21,106,15,80,Tottenville-Charleston
36085024700,49,2893,712,1003,810,675,309,16,80,Port Richmond
36085024800,51,4798,1111,816,3637,57,127,49,112,Tottenville-Charleston
36085025100,50,6030,1164,909,4162,131,667,12,149,Westerleigh-Castleton Corners
36085027301,50,4811,920,607,2928,140,1007,45,84,New Springville-Willowbrook-Bulls Head-Travis
36085027302,50,4242,1296,317,2850,125,847,46,57,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085027702,51,6479,1014,996,3925,250,1123,41,144,New Springville-Willowbrook-Bulls Head-Travis
36085027704,51,4612,953,492,2713,116,1194,37,60,New Springville-Willowbrook-Bulls Head-Travis
36085027705,51,5866,1259,811,3214,112,1578,30,121,New Springville-Willowbrook-Bulls Head-Travis
36085027706,51,3043,631,441,1743,97,673,11,78,New Springville-Willowbrook-Bulls Head-Travis
36085027900,50,2110,348,248,1689,2,115,4,52,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
36085029102,50,3394,844,748,1963,111,459,30,83,New Springville-Willowbrook-Bulls Head-Travis
36085029104,50,7178,1502,1308,4101,303,1270,44,152,New Springville-Willowbrook-Bulls Head-Travis
36085029105,50,4257,790,578,2813,67,682,23,94,New Springville-Willowbrook-Bulls Head-Travis
36085029106,51,3231,634,556,2102,99,415,14,45,New Springville-Willowbrook-Bulls Head-Travis
36085030301,49,5130,1033,1427,2022,680,839,54,108,Mariner's Harbor-Arlington-Graniteville
36085030302,49,6669,1532,2306,1622,1284,1219,80,158,Mariner's Harbor-Arlington-Graniteville
36085031901,49,3262,988,1218,179,1526,181,30,128,Mariner's Harbor-Arlington-Graniteville
36085031902,49,5500,1717,1722,472,2904,111,85,206,Mariner's Harbor-Arlington-Graniteville
36085032300,49,1233,285,454,205,415,80,24,55,Mariner's Harbor-Arlington-Graniteville
36085990100,50,0,0,0,0,0,0,0,0,Hoffman & Swinburne Islands
