ct,tot_,moe_,tot_not_hispanic,moe_not_hispanic,tot_hispanic,moe_hispanic,tot_mexican,moe_mexican,tot_puerto_rican,moe_puerto_rican,tot_cuban,moe_cuban,tot_dominican,moe_dominican,tot_central_american,moe_central_american,tot_costa_rican,moe_costa_rican,tot_guatemalan,moe_guatemalan,tot_honduran,moe_honduran,tot_nicaraguan,moe_nicaraguan,tot_panamanian,moe_panamanian,tot_salvadoran,moe_salvadoran,tot_other_central_american,moe_other_central_american,tot_south_american,moe_south_american,tot_argentinean,moe_argentinean,tot_bolivian,moe_bolivian,tot_chilean,moe_chilean,tot_colombian,moe_colombian,tot_ecuadorian,moe_ecuadorian,tot_paraguayan,moe_paraguayan,tot_peruvian,moe_peruvian,tot_uruguayan,moe_uruguayan,tot_venezuelan,moe_venezuelan,tot_other_south_american,moe_other_south_american,tot_other_hispanic_or_latino,moe_other_hispanic_or_latino,tot_spaniard,moe_spaniard,tot_spanish,moe_spanish,tot_spanish_american,moe_spanish_american,tot_all_other_hispanic_or_latino,moe_all_other_hispanic_or_latino
36081052400,2309,335,2069,290,240,249,0,13,60,67,0,13,0,13,128,204,0,13,112,177,16,27,0,13,0,13,0,13,0,13,52,86,0,13,0,13,0,13,0,13,52,86,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081052500,2647,413,1620,277,1027,405,50,50,88,79,20,32,164,120,99,86,19,25,15,19,0,13,0,13,0,13,65,81,0,13,572,383,22,27,0,13,0,13,125,116,425,339,0,13,0,13,0,13,0,13,0,13,34,39,17,25,0,13,0,13,17,18
36081052600,2393,368,2067,345,326,201,0,13,10,14,51,74,127,143,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,121,100,0,13,0,13,0,13,58,87,63,72,0,13,0,13,0,13,0,13,0,13,17,30,0,13,0,13,0,13,17,30
36081052800,1543,309,1488,312,55,70,0,13,44,67,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,16,0,13,0,13,0,13,11,16
36081053000,2662,606,2583,602,79,85,0,13,0,13,0,13,0,13,46,68,0,13,0,13,0,13,46,68,0,13,0,13,0,13,33,48,11,15,0,13,0,13,0,13,22,32,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081053100,3638,600,2465,540,1173,361,183,297,134,113,0,13,122,135,100,122,0,13,26,42,0,13,0,13,0,13,74,115,0,13,603,268,256,249,0,13,0,13,133,152,124,123,0,13,40,63,50,95,0,13,0,13,31,35,0,13,0,13,0,13,31,35
36081053200,2245,380,1889,315,356,271,89,119,31,54,0,13,21,31,104,129,0,13,0,13,0,13,0,13,0,13,104,129,0,13,76,106,0,13,0,13,65,105,0,13,11,17,0,13,0,13,0,13,0,13,0,13,35,45,0,13,0,13,0,13,35,45
36081053401,2048,513,1705,505,343,185,165,190,129,135,0,13,12,25,18,29,0,13,0,13,0,13,0,13,0,13,18,29,0,13,19,26,2,6,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,25,0,13,0,13,0,13,0,13,0,13,0,13
36081053501,1372,369,592,349,780,216,150,142,278,162,0,13,50,43,67,61,17,27,21,32,0,13,29,44,0,13,0,13,0,13,192,143,0,13,0,13,4,6,39,52,148,139,0,13,1,7,0,13,0,13,0,13,43,42,0,13,0,13,0,13,43,42
36081053502,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081053601,2073,485,1554,264,519,416,0,13,311,391,0,13,42,61,8,12,8,12,0,13,0,13,0,13,0,13,0,13,0,13,113,125,0,13,0,13,0,13,75,99,38,68,0,13,0,13,0,13,0,13,0,13,45,68,0,13,0,13,0,13,45,68
36081053800,1656,329,1541,315,115,104,5,8,0,13,0,13,29,30,32,28,0,13,6,9,0,13,0,13,16,23,10,14,0,13,49,77,0,13,0,13,0,13,0,13,49,77,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081053901,4427,506,2434,427,1993,336,175,145,733,254,0,13,621,331,9,15,0,13,0,13,0,13,0,13,0,13,9,15,0,13,373,230,33,46,0,13,12,20,25,40,127,96,0,13,125,130,0,13,51,79,0,13,82,111,14,21,0,13,0,13,68,109
36081053902,170,97,170,97,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081054000,4214,755,3212,601,1002,432,0,13,161,127,0,13,523,406,200,175,0,13,130,146,42,54,0,13,28,34,0,13,0,13,118,172,0,13,0,13,0,13,118,172,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081054200,5999,1002,4491,625,1508,861,49,53,447,374,0,18,64,86,547,424,0,18,72,84,398,403,0,18,0,18,77,98,0,18,389,329,66,86,10,15,0,18,84,89,142,213,0,18,0,18,0,18,0,18,87,135,12,17,0,18,0,18,0,18,12,17
36081054500,4061,651,1598,486,2463,543,756,408,292,211,9,14,194,120,46,54,0,13,28,44,0,13,0,13,18,30,0,13,0,13,1128,466,0,13,0,13,0,13,15,22,1113,459,0,13,0,13,0,13,0,13,0,13,38,44,0,13,0,13,0,13,38,44
36081054700,5163,826,1944,567,3219,581,688,435,432,230,0,18,542,387,76,136,0,18,0,18,64,109,12,29,0,18,0,18,0,18,1357,461,0,18,0,18,0,18,238,200,1107,478,0,18,12,18,0,18,0,18,0,18,124,165,0,18,86,124,0,18,38,53
36081054800,2635,348,2327,347,308,181,0,13,0,13,26,35,25,35,40,52,0,13,0,13,0,13,10,17,0,13,30,37,0,13,217,184,0,13,0,13,0,13,112,166,23,32,0,13,82,75,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081054900,6139,961,2135,376,4004,1014,746,437,920,584,0,18,625,317,99,97,0,18,64,91,12,19,0,18,7,12,16,26,0,18,1590,767,6,9,0,18,0,18,308,438,1101,517,0,18,175,211,0,18,0,18,0,18,24,27,13,20,0,18,0,18,11,17
36081055100,4466,551,2562,499,1904,534,269,195,751,233,0,13,46,52,10,12,0,13,0,13,10,12,0,13,0,13,0,13,0,13,626,354,0,13,0,13,0,13,88,116,517,335,0,13,21,31,0,13,0,13,0,13,202,185,25,39,11,17,0,13,166,179
36081055200,3016,567,2081,556,935,416,0,13,199,159,14,24,118,101,135,126,0,13,86,114,0,13,0,13,0,13,49,55,0,13,364,244,0,13,0,13,15,24,27,30,115,208,0,13,207,197,0,13,0,13,0,13,105,97,47,68,0,13,0,13,58,71
36081055300,3114,569,1076,191,2038,542,333,247,544,211,11,16,200,142,156,90,0,13,0,13,80,64,14,21,0,13,62,64,0,13,754,511,0,13,0,13,0,13,78,76,676,506,0,13,0,13,0,13,0,13,0,13,40,49,0,13,0,13,0,13,40,49
36081055400,2786,439,2158,456,628,212,6,9,79,59,0,13,98,105,149,134,0,13,7,15,0,13,0,13,0,13,142,130,0,13,264,122,0,13,0,13,0,13,152,111,61,53,0,13,51,50,0,13,0,13,0,13,32,41,0,13,0,13,0,13,32,41
36081055500,2430,446,747,186,1683,453,192,150,388,188,20,22,395,168,34,39,0,13,0,13,25,37,0,13,0,13,9,14,0,13,613,393,8,14,0,13,0,13,0,13,605,394,0,13,0,13,0,13,0,13,0,13,41,65,0,13,0,13,0,13,41,65
