ct,cd,tot_pov_pop,below_pov_pop
36047011600,43,3480,1060
36047011700,38,2911,372
36047011800,43,1965,303
36047011901,39,1364,88
36047011902,38,0,0
36047012000,38,1286,205
36047012100,39,1989,147
36047012200,38,5762,1743
36047012600,47,2831,573
36047012700,39,3865,1143
36047012801,38,2192,513
36047012901,39,2373,201
36047012902,39,2979,291
36047013000,47,4770,588
36047013100,39,3926,396
36047013200,38,2418,413
36047013300,39,4560,125
36047013400,47,4465,524
36047013500,39,4223,114
36047013600,47,3837,175
36047013700,39,3491,229
36047013800,47,4075,368
36047013900,38,3573,161
36047014000,47,2036,361
36047014101,38,1034,140
36047014102,39,2027,184
36047014200,47,3403,564
36047014300,38,3994,224
36047014500,38,4048,261
36047014700,39,2655,307
36047014800,50,1249,92
36047014901,39,1563,101
36047014902,39,4697,286
36047015000,50,1732,204
36047015100,39,4112,63
36047015200,50,2646,338
36047015300,39,2730,197
36047015400,50,0,0
36047015500,39,3904,188
36047015700,39,4853,72
36047015900,39,5093,291
36047016000,47,4636,742
36047016100,35,3708,149
36047016200,47,2369,410
36047016300,35,3906,386
36047016400,50,1090,0
36047016500,39,6604,311
36047016600,47,1940,37
36047016700,39,4843,150
36047016800,50,2166,205
36047016900,39,5221,816
36047017000,50,3075,431
36047017100,39,4344,115
36047017200,50,3251,314
36047017400,47,2384,200
36047017500,38,0,0
36047017600,47,2602,336
36047017700,39,0,0
36047017800,38,2702,261
36047017900,35,4056,1088
36047018000,47,3253,317
36047018100,35,3775,392
36047018200,38,3612,299
36047018300,35,2744,112
36047018400,38,2288,158
36047018501,35,4759,1215
36047018600,38,2311,234
36047018700,35,1459,174
36047018800,38,2882,390
36047019000,38,5104,474
36047019100,35,2943,249
36047019200,44,2870,596
36047019300,35,4156,811
36047019400,43,3508,1087
36047019500,35,3405,426
36047019600,38,4556,1238
36047019700,35,3741,187
36047019800,38,1875,132
36047019900,35,3614,270
36047020000,38,2380,544
36047020100,35,4259,163
36047020200,38,1895,142
36047020300,35,1849,188
36047020400,38,1886,225
36047020500,35,3407,167
36047020600,38,2691,420
36047020700,35,4923,201
36047020800,38,3250,322
36047021000,43,4089,1118
36047021100,35,3008,346
36047021200,43,4309,968
36047021300,35,4346,849
36047021400,43,2439,716
36047021500,35,6271,664
36047021600,44,3945,1848
36047021700,35,3493,477
36047021800,44,2927,455
36047021900,35,3882,496
36047022000,44,5127,2857
36047022100,35,4058,982
36047022200,44,4034,2050
36047022400,39,5479,1451
36047022600,39,2478,134
36047022700,36,4244,309
36047022800,39,3962,1562
36047022900,36,4067,539
36047023000,39,4555,1841
36047023100,35,3621,324
36047023200,44,6589,2627
36047023300,36,6942,2189
36047023400,44,5026,2556
36047023500,33,5613,2626
36047023600,44,5924,2707
36047023800,44,4563,1703
36047024000,44,5920,2557
36047024100,33,2836,826
36047024200,44,2618,413
36047024300,36,4440,530
36047024400,44,3570,1223
36047024500,36,4513,445
36047024600,44,3011,345
36047024700,36,2594,425
36047024800,43,2506,225
36047024900,36,4135,832
36047025000,43,1907,251
36047025100,36,4032,940
36047025200,43,5501,989
36047025300,36,4003,733
36047025400,43,3306,588
36047025500,36,5524,1776
36047025600,43,3125,821
36047025700,36,2584,502
36047025800,43,4849,1318
36047025901,36,2077,487
36047025902,36,3672,1637
36047026000,43,3354,311
36047026100,36,5353,2067
36047026200,43,2819,198
36047026300,36,2079,446
36047026400,43,4378,594
36047026500,36,4187,619
36047026600,43,3633,534
36047026700,36,4424,360
36047026800,43,4912,782
36047026900,36,3237,471
36047027000,43,2519,883
36047027100,36,3523,586
36047027200,43,3803,665
36047027300,36,3895,385
36047027400,43,3356,549
36047027500,36,5009,866
36047027600,43,3938,602
36047027700,36,4468,1126
36047027800,38,3337,406
36047027900,36,3454,653
36047028000,47,1946,220
36047028100,36,5169,1640
36047028200,47,3623,557
36047028300,36,3966,1251
36047028400,38,3614,530
36047028501,36,344,106
36047028502,36,3173,1320
36047028600,47,5797,1733
36047028700,36,3486,827
36047028800,43,3649,721
36047028900,36,3777,1122
36047029000,43,3852,1326
36047029100,36,3519,493
36047029200,47,2766,559
36047029300,36,3553,611
36047029400,47,2128,390
36047029500,36,4113,789
36047029600,43,6037,1906
36047029700,36,4720,764
36047029800,43,4387,1099
36047029900,41,2217,769
36047030000,43,4415,783
36047030100,41,3340,896
36047030200,43,4448,717
36047030300,41,4936,1368
36047030400,47,4528,965
36047030500,35,6858,601
36047030600,47,1985,307
36047030700,41,7250,3142
36047030800,47,1944,177
36047030900,36,2410,498
36047031100,36,3014,756
36047031300,36,5004,815
36047031401,47,5152,317
36047031402,47,0,0
36047031500,36,5342,550
36047031701,36,3792,254
36047031702,35,3820,338
36047031900,35,3100,274
36047032100,35,5241,606
36047032300,35,3550,720
36047032500,35,6321,1399
36047032600,47,7510,3217
36047032700,40,2870,474
36047032800,47,2848,639
36047032900,40,6174,1498
36047033000,47,5007,2115
36047033100,35,4441,1127
36047033300,35,4578,871
36047033500,35,2860,537
36047033600,47,5074,812
36047033701,35,2465,127
36047033702,35,1548,326
36047033900,35,4687,1197
36047034000,47,1460,737
36047034100,36,2931,575
36047034200,47,6530,2621
36047034300,36,5340,2095
36047034500,36,2785,417
36047034700,36,3664,761
36047034800,47,2851,874
36047034901,41,1937,155
36047034902,41,3904,809
36047035000,48,3355,613
36047035101,35,2565,796
36047035102,35,2659,431
36047035200,47,1082,607
36047035301,35,2731,704
36047035302,35,3009,147
36047035400,47,6315,710
36047035500,41,5772,844
36047035601,48,2879,496
36047035602,48,5875,472
36047035701,41,2414,653
36047035702,41,0,0
36047035900,41,5929,1305
36047036001,48,3055,846
36047036002,48,4306,1353
36047036100,41,2902,1087
36047036200,48,3852,925
36047036300,41,5861,1940
36047036400,48,2441,398
36047036501,41,3299,726
36047036502,37,1653,546
36047036600,48,4076,1434
36047036700,37,1942,386
36047036900,37,5815,1579
36047037000,48,4295,730
36047037100,41,5344,918
36047037300,41,4816,1466
36047037401,47,4735,740
36047037402,47,4967,703
36047037500,41,3264,425
36047037700,41,5183,998
36047037900,41,5046,1271
36047038100,41,5605,1231
36047038200,47,6186,2960
36047038300,41,5572,1205
36047038500,41,4556,587
36047038600,47,3336,405
36047038700,36,4147,1380
36047038800,44,4691,845
36047038900,34,3072,579
36047039000,44,2592,411
36047039100,34,3844,780
36047039200,48,3370,303
36047039300,34,4284,735
36047039400,44,2184,645
36047039500,37,3838,1214
36047039600,44,2090,362
36047039700,37,3076,778
36047039800,44,3078,539
36047039900,37,4505,977
36047040000,44,3034,435
36047040100,37,3409,1151
36047040200,43,2936,548
36047040300,37,4085,895
36047040400,43,2563,336
36047040500,37,1584,253
36047040600,43,3992,552
36047040700,37,0,0
36047040800,43,3862,367
36047040900,37,4358,1539
36047041000,44,2047,335
36047041100,37,3762,714
36047041200,44,3454,907
36047041300,37,3646,734
36047041401,44,1396,272
36047041402,44,2052,419
36047041500,37,4472,924
36047041600,48,2178,243
36047041700,37,3330,820
36047041800,44,2746,524
36047041900,37,3866,1242
36047042000,44,1803,293
36047042100,37,4505,696
36047042200,44,3624,771
36047042300,34,3757,430
36047042400,44,3753,583
36047042500,34,3398,761
36047042600,43,4699,1193
36047042700,34,4690,819
36047042800,43,3892,361
36047042900,34,5558,1426
36047043000,43,3738,590
36047043100,37,4695,849
36047043200,43,4504,475
36047043300,37,3764,1213
36047043400,44,4014,1238
36047043500,37,5191,1131
36047043600,44,5057,994
36047043700,37,5986,1157
36047043800,44,2453,343
36047043900,37,3897,542
36047044000,44,2952,578
36047044100,37,5479,1757
36047044200,44,2499,482
36047044300,37,4537,752
36047044400,44,3900,1066
36047044500,34,4519,706
36047044600,44,2055,219
36047044700,34,2487,1055
36047044800,44,1884,202
36047044901,34,2884,705
36047044902,34,0,0
36047045000,44,982,353
36047045200,44,2766,232
36047045300,34,2283,996
36047045400,44,1737,249
36047045600,44,2202,451
36047045800,44,1196,144
36047046000,45,3529,442
36047046201,40,2287,323
36047046202,44,1927,222
36047046400,44,2847,1001
36047046800,44,2213,413
36047047000,44,2527,307
36047047200,44,2964,588
36047047400,44,2590,855
36047047600,44,3104,500
36047047700,34,3974,423
36047047800,44,4379,644
36047048000,40,3324,1248
36047048100,34,3053,349
36047048200,40,5545,895
36047048400,40,5840,1251
36047048500,34,2329,538
36047048600,39,3556,715
36047048800,39,4351,577
36047048900,34,3709,1453
36047049000,39,5561,898
36047049100,34,6993,2433
36047049200,39,2936,707
36047049301,34,2408,1071
36047049302,34,5262,1968
36047049400,39,5140,578
36047049500,34,2522,483
36047049600,39,3842,505
36047049700,34,3076,166
36047049800,39,4036,228
36047049900,33,2088,168
36047050001,39,2246,18
