ed,cd
34053,26
34054,26
34055,26
34056,26
34057,26
34058,25
34059,25
34060,26
34061,26
34062,26
34063,25
34064,25
34065,21
34066,21
34067,25
34068,25
34069,25
34070,26
34071,26
34072,25
34073,25
35001,30
35002,30
35003,30
35004,30
35005,30
35006,25
35007,25
35008,25
35009,25
35010,25
35011,25
35012,25
35013,21
35014,25
35015,21
35016,21
35017,21
35018,21
35019,21
35021,21
35022,21
35023,24
35024,24
35025,21
35026,24
35027,24
35028,21
35029,21
35030,24
35031,21
35032,21
35033,25
35034,21
35036,25
35037,21
35038,21
35039,21
35040,21
35041,21
35042,21
35043,21
35044,21
35045,21
35046,21
35047,21
35048,21
35049,22
35050,22
35051,21
35052,21
35053,21
35054,21
35055,21
35057,21
35058,22
35059,21
35061,21
35062,30
35063,25
35064,24
35065,21
35066,21
36001,22
36002,22
36003,22
36004,22
36005,22
36006,22
36007,22
36008,22
36009,22
36010,22
36011,22
36012,22
36013,22
36014,22
36015,22
36016,22
36017,22
36018,22
36019,22
36020,22
36021,22
36022,22
36023,22
36024,22
36025,22
36026,22
36027,22
36028,22
36029,22
36030,22
36031,22
36032,22
36033,22
36034,22
36035,22
36036,22
36037,22
36038,22
36039,22
36040,22
36041,22
36042,22
36043,22
36044,25
36045,22
36046,22
36047,22
36048,22
36049,22
36050,22
36051,22
36052,22
36053,22
36054,22
36055,22
36056,22
36057,22
36058,22
36059,22
36060,22
36061,22
36062,22
36063,22
36064,26
36065,22
36066,22
36067,22
36068,22
36069,21
36070,25
36071,22
36072,22
36073,22
36074,22
36075,22
36076,22
36077,22
36078,22
36079,22
36080,22
36081,22
36082,22
36083,22
37001,22
37003,22
37007,26
37008,26
37009,26
37010,26
37011,26
37012,26
37013,26
37014,26
37015,26
37016,26
37017,26
37018,26
37019,26
37020,26
37021,26
37023,26
37024,26
37025,26
37026,26
37027,26
37028,26
37029,26
37030,26
37031,26
37032,26
37033,26
37034,26
37035,26
37036,26
37037,26
37038,26
37039,26
37040,30
37041,30
37042,30
37043,30
37044,30
37045,30
37046,30
37047,30
37048,30
37049,30
37050,30
37051,34
37052,30
37053,30
37054,30
37055,34
37056,34
37057,34
37058,34
37059,34
37060,34
37061,30
37062,30
37063,26
37064,26
37065,26
37066,26
37067,30
37068,30
37069,30
37070,26
37073,22
37074,26
37075,26
37076,26
37077,26
37078,26
37080,26
37081,26
37082,26
37083,26
37084,30
37085,30
37086,30
37087,34
37088,26
38001,34
38002,34
38003,34
38004,34
38005,34
38006,34
38007,34
38008,34
38009,30
38010,32
38011,30
38012,30
38013,30
38014,30
38015,30
38016,32
38017,32
38018,30
38019,32
38020,29
38021,32
38022,32
38023,32
38024,32
38025,32
38026,32
38027,32
38028,32
38029,32
38030,32
38031,32
38032,32
38035,32
38036,28
38037,29
38038,29
38039,29
38040,29
38041,29
38042,29
38043,29
38044,29
38045,32
38046,29
38047,29
38049,29
38050,32
38051,32
38052,32
38053,32
38054,32
38055,32
38056,32
38057,32
38059,32
38060,32
38062,34
38063,32
38064,34
38065,30
38066,30
38067,32
38068,32
38069,29
38070,29
38071,32
39001,21
39002,21
39003,21
39004,21
39005,21
39006,21
39007,21
39008,21
39009,21
39010,21
39011,25
39012,21
39013,21
39014,25
39015,25
39016,25
39017,25
39018,25
39019,25
39020,25
39021,25
39022,26
39023,25
39024,25
39025,25
39026,25
39027,25
39028,25
39029,25
39030,25
39031,25
39032,25
39033,25
39034,25
39035,30
39036,26
39037,25
39038,25
39039,25
39040,25
39041,25
39042,25
39043,25
39044,25
39045,25
39046,25
39047,25
39048,25
39049,25
39050,25
39051,25
39052,21
39053,21
39054,21
39055,25
39056,25
40001,19
40002,19
40003,20
40004,19
40005,19
40006,19
40007,19
40008,20
40009,19
40010,19
40011,19
40012,19
40013,19
40014,19
40015,19
40016,20
40017,19
40018,20
40019,20
40020,20
40021,20
40022,20
40023,20
40024,20
40025,20
40026,20
40027,20
40028,20
40029,20
40030,20
40031,20
40032,20
40033,20
40034,20
40035,20
40036,20
40037,20
40038,20
40039,20
40040,20
40041,20
40042,20
40043,20
40044,20
40045,20
40047,20
40048,20
40049,20
40050,20
40051,20
40052,20
40053,20
40055,21
40056,20
40057,20
40058,20
40059,20
40060,20
41001,48
41002,48
41004,48
41005,48
41006,48
41007,48
41008,48
41009,48
41010,48
41011,45
41012,46
41013,45
41014,46
41015,46
41016,45
41017,46
41018,46
41019,45
41020,45
41021,45
41022,46
41023,45
41024,45
41025,45
41026,45
41027,45
41028,45
41029,45
41030,45
41031,45
41032,45
41034,45
41035,48
41036,46
41037,45
41038,46
41039,45
41040,45
41041,45
41042,48
41043,45
41044,48
41045,45
41046,46
41047,45
41048,45
41049,45
41050,45
41051,45
41052,45
41053,45
41054,45
41056,46
41057,48
41058,48
41059,48
41060,46
41061,46
41062,46
41063,46
41064,46
41065,46
41066,46
41067,46
41068,46
41069,46
41070,48
41071,48
41072,48
41073,46
41074,48
41075,48
41076,48
41077,48
41078,48
41079,48
41080,48
41081,48
41082,48
41083,46
41084,46
41085,46
41086,48
41087,48
41088,48
41089,48
41091,45
41092,48
41095,45
41096,45
41097,45
41098,45
41099,45
42001,40
42002,40
42003,40
42004,40
42005,40
42006,40
42007,40
42008,40
42009,40
42010,40
42011,40
42012,40
42013,40
42014,40
42015,40
42016,40
42017,40
42018,40
42019,40
42020,40
42021,40
42022,40
42023,40
42025,45
42026,40
42027,40
42028,40
42029,40
42030,40
42031,40
42032,40
42033,40
42034,40
42035,40
42036,45
42038,45
42039,40
42040,45
42041,45
42042,45
42043,45
42044,45
42045,45
42046,45
42047,45
42048,45
42049,45
42050,45
42051,45
42053,45
42054,45
42055,45
42056,45
42057,45
42058,45
42059,45
42060,45
42061,45
42062,45
42063,45
42064,45
42065,45
42066,44
42067,44
42068,40
42069,45
42070,40
42071,45
42072,40
42073,45
42074,40
42075,40
42076,40
42077,40
42078,40
42079,45
42080,45
42082,45
43001,40
43002,40
43003,40
43004,40
43005,40
43006,40
43007,40
43008,40
43009,40
43010,40
43011,40
43012,36
43013,35
43014,40
43015,40
43016,40
43017,40
43018,40
43019,40
43020,40
43021,40
43022,40
43023,40
43024,40
43025,40
43026,40
43027,40
43028,40
43029,40
43030,40
43031,40
43032,40
43033,40
43034,40
43035,35
43036,35
43037,35
43038,35
43039,35
43040,35
43041,35
43042,35
43043,35
43044,35
43045,36
43046,36
43047,36
43048,36
43049,36
43050,36
43051,35
43052,40
43053,40
43054,40
43055,40
43056,40
43057,35
43058,41
43059,35
43060,35
43061,35
43062,35
43063,35
43064,35
43065,35
43066,41
43067,41
43068,40
43069,40
43070,40
43071,40
43072,36
43073,40
43074,40
43075,40
43076,41
43077,35
43078,40
43079,41
43080,40
43081,40
43082,40
43083,40
43084,35
43085,35
43086,35
43087,36
44001,44
44002,39
44003,39
44004,39
44005,40
44006,39
44007,39
44008,39
44009,39
44010,39
44011,39
44012,39
44013,39
44014,39
44015,39
44016,39
44017,39
44018,39
44019,39
44020,39
44021,44
44022,44
44023,40
44024,40
44027,45
44028,40
44029,45
44030,45
44031,45
44032,45
44033,45
44034,40
44035,40
44036,40
44037,39
44038,40
44039,39
44040,39
44041,40
44042,40
44043,39
44044,39
44045,39
44046,40
44047,40
44048,40
44049,40
44050,40
44051,39
44052,39
44053,39
44054,39
44055,39
44056,39
44057,39
44058,39
44059,39
44060,39
44061,39
44062,39
44063,39
44064,39
44065,39
44066,39
44067,40
44068,39
44069,39
44070,39
44071,39
44072,39
44073,39
44074,39
44075,39
44076,39
44077,39
44078,39
44079,39
44080,39
44081,40
44082,40
44083,39
44084,39
44085,39
44086,39
44087,45
44088,39
44089,39
44090,40
44091,40
44092,39
44093,40
45001,44
45002,44
45003,48
45004,48
45005,48
45006,44
45007,44
45008,44
45009,44
45010,44
45011,48
45012,48
45013,48
45014,48
45015,48
45016,48
45017,44
45018,44
45019,44
45020,44
45021,44
45022,48
45023,48
45024,48
45025,48
45026,48
45027,48
45028,48
45029,48
45030,48
45031,48
45032,44
45033,44
45034,43
45035,44
45036,44
45037,48
45038,48
45039,48
45040,44
45041,44
45042,47
45043,47
45044,47
45045,47
45046,47
45047,47
45049,48
45051,48
45052,48
45053,48
45054,48
45055,44
45056,48
45057,48
45058,48
45059,48
45060,48
45061,48
45062,48
45063,48
45064,48
45065,48
45066,48
45067,48
45068,48
45070,48
45071,48
45073,48
45074,48
45075,48
45076,48
45077,48
45078,48
46001,47
46002,47
46003,47
46004,47
46005,47
46007,47
46008,47
46009,47
46010,47
46011,47
46013,47
46014,47
46015,47
46016,47
46017,48
46018,48
46019,48
46020,48
46021,48
46022,48
46023,48
46024,48
46025,48
46026,47
46027,47
46028,48
46029,47
46030,48
46031,47
46032,47
46033,47
46034,47
46035,38
46036,50
46037,47
46038,47
46039,47
46040,47
46041,47
46042,50
46043,48
46044,48
46045,48
46046,48
46047,50
46048,47
46049,47
46050,47
46051,47
46052,47
46053,47
46054,47
46055,47
46056,47
46057,47
46058,47
46059,47
46060,47
46061,47
46062,47
46063,47
46064,47
46065,47
46066,38
46067,38
46068,38
46069,38
46070,50
46071,47
46072,50
46073,48
46074,50
46075,47
46076,47
46077,47
46078,47
46079,50
46080,47
46081,48
46082,47
47001,47
47002,47
47003,38
47004,38
47005,47
47006,38
47007,38
47008,47
47009,47
47010,43
47011,38
47012,38
47013,47
47014,47
47015,47
47016,43
47017,43
47018,43
47019,43
47020,43
47021,43
47022,43
47023,43
47024,43
47025,43
47026,44
47027,44
47028,43
47029,43
47030,43
47031,44
47032,44
47033,43
47034,43
47035,43
47036,43
47037,43
47038,43
47039,43
47040,47
47041,47
47042,47
47043,43
47044,43
47045,43
47046,43
47047,43
47048,44
47049,44
47050,43
47051,43
47052,43
47053,47
47054,47
47055,47
47056,47
47057,47
47058,47
47059,47
47060,47
47061,47
47062,43
47063,43
47064,43
47065,43
47066,44
47067,47
47068,47
47069,43
47070,43
47071,50
47072,38
47073,43
47074,47
48001,43
48002,43
48003,44
48004,44
48005,44
48006,44
48007,44
48008,38
48009,44
48010,44
48011,44
48012,44
48013,44
48014,44
48015,44
48016,44
48017,44
48018,44
48019,44
48020,44
48021,44
48022,44
48023,44
48024,44
48025,44
48026,44
48028,44
48031,44
48032,44
48033,44
48034,44
48036,43
48038,44
48039,44
48040,44
48041,44
48042,44
48043,44
48044,44
48045,44
48046,44
48047,44
48048,44
48049,44
48050,44
48051,44
48052,44
48053,44
48054,44
48055,44
48056,45
48057,44
48058,44
48059,44
48060,44
48061,44
48062,44
48063,44
48064,44
48065,44
48066,44
48067,40
48068,44
48070,45
48071,44
48072,44
49001,43
49002,43
49003,43
49004,43
49005,43
49006,43
49007,38
49009,43
49010,43
49011,43
49012,43
49013,38
49014,38
49015,38
49016,43
49017,43
49018,43
49019,43
49020,43
49021,43
49022,38
49023,43
49024,43
49025,43
49026,43
49027,38
49028,38
49029,38
49030,43
49031,43
49032,38
49033,38
49034,43
49035,43
49036,43
49037,43
49039,43
49040,43
49041,43
49042,43
49043,43
49044,38
49045,43
49046,43
49047,38
49048,38
49049,38
49050,38
49051,38
49052,38
49053,38
49054,38
49055,38
49056,38
49057,44
49058,43
49059,43
49060,44
49061,43
