ed,cd,dem,rep,con,wor,oth,blank,total
27016,24,685.0,55.0,5.0,5.0,15.0,157.0,922.0
27017,24,1039.0,129.0,6.0,5.0,27.0,431.0,1637.0
27018,24,654.0,48.0,4.0,10.0,17.0,143.0,876.0
27019,20,924.0,258.0,10.0,2.0,39.0,564.0,1797.0
27020,24,588.0,172.0,4.0,3.0,14.0,304.0,1085.0
27021,24,780.0,211.0,4.0,2.0,28.0,468.0,1493.0
27022,24,971.0,186.0,3.0,9.0,31.0,385.0,1585.0
27023,24,787.0,231.0,11.0,1.0,22.0,387.0,1439.0
27024,24,645.0,236.0,2.0,1.0,21.0,263.0,1168.0
27025,24,906.0,295.0,5.0,4.0,28.0,335.0,1573.0
27026,24,314.0,38.0,1.0,2.0,7.0,115.0,477.0
27027,24,1032.0,349.0,4.0,0.0,13.0,285.0,1683.0
27028,24,839.0,217.0,2.0,1.0,30.0,359.0,1448.0
27029,24,891.0,263.0,5.0,2.0,25.0,275.0,1461.0
27030,24,517.0,141.0,4.0,2.0,20.0,198.0,882.0
27031,29,58.0,30.0,1.0,0.0,3.0,33.0,125.0
27032,19,811.0,199.0,11.0,1.0,36.0,458.0,1516.0
27033,19,866.0,260.0,12.0,7.0,27.0,539.0,1711.0
27034,19,864.0,224.0,9.0,11.0,31.0,502.0,1641.0
27035,19,870.0,213.0,11.0,9.0,31.0,511.0,1645.0
27036,19,813.0,246.0,8.0,5.0,43.0,502.0,1617.0
27037,19,762.0,227.0,7.0,6.0,29.0,507.0,1538.0
27038,19,830.0,252.0,14.0,5.0,34.0,475.0,1610.0
27039,19,572.0,393.0,13.0,6.0,21.0,405.0,1410.0
27040,24,973.0,242.0,9.0,5.0,38.0,436.0,1703.0
27041,19,210.0,142.0,4.0,2.0,20.0,162.0,540.0
27042,19,560.0,637.0,15.0,2.0,43.0,390.0,1647.0
27043,19,633.0,399.0,24.0,2.0,49.0,381.0,1488.0
27044,19,505.0,410.0,11.0,4.0,31.0,328.0,1289.0
27045,19,486.0,434.0,10.0,3.0,40.0,348.0,1321.0
27046,19,78.0,121.0,4.0,0.0,8.0,60.0,271.0
27047,24,352.0,91.0,2.0,3.0,14.0,175.0,637.0
27048,19,679.0,284.0,8.0,6.0,40.0,381.0,1398.0
27049,19,756.0,285.0,13.0,2.0,29.0,503.0,1588.0
27050,19,558.0,288.0,5.0,1.0,28.0,357.0,1237.0
27051,19,538.0,257.0,10.0,4.0,34.0,284.0,1127.0
27052,19,466.0,243.0,13.0,3.0,15.0,284.0,1024.0
27053,29,,,,,,,
27054,21,,,,,,,
27055,29,,,,,,,
27056,29,,,,,,,
27057,24,,,,,,,
27058,21,,,,,,,
27059,24,,,,,,,
27060,21,,,,,,,
27061,21,,,,,,,
27062,20,,,,,,,
27063,20,,,,,,,
27066,19,,,,,,,
27067,21,,,,,,,
28001,29,364.0,50.0,3.0,1.0,14.0,133.0,565.0
28002,29,1094.0,182.0,5.0,2.0,28.0,333.0,1644.0
28003,29,1081.0,220.0,9.0,3.0,41.0,407.0,1761.0
28004,29,1012.0,176.0,5.0,5.0,43.0,374.0,1615.0
28005,30,117.0,67.0,4.0,0.0,11.0,64.0,263.0
28006,29,332.0,71.0,3.0,2.0,13.0,145.0,566.0
28007,29,886.0,196.0,7.0,3.0,29.0,330.0,1451.0
28008,29,897.0,193.0,9.0,3.0,31.0,382.0,1515.0
28009,29,919.0,222.0,5.0,8.0,49.0,339.0,1542.0
28010,29,10.0,6.0,0.0,0.0,1.0,11.0,28.0
28011,32,504.0,246.0,13.0,3.0,33.0,246.0,1045.0
28012,32,478.0,399.0,20.0,3.0,20.0,326.0,1246.0
28013,32,373.0,209.0,7.0,1.0,33.0,206.0,829.0
28014,30,645.0,289.0,10.0,6.0,36.0,368.0,1354.0
28015,30,672.0,280.0,11.0,8.0,38.0,375.0,1384.0
28016,30,6.0,5.0,0.0,0.0,0.0,8.0,19.0
28017,32,16.0,21.0,1.0,0.0,0.0,21.0,59.0
28018,30,104.0,30.0,7.0,0.0,4.0,32.0,177.0
