ed,cd,hochul,zeldin,gov_votes,voters_nov22
58040,45,413.0,21.0,443.0,1186.0
58041,45,406.0,19.0,429.0,1162.0
58042,45,429.0,27.0,462.0,1335.0
58043,45,399.0,22.0,426.0,1278.0
58044,45,412.0,17.0,434.0,1038.0
58045,45,336.0,22.0,359.0,942.0
58046,45,210.0,9.0,219.0,597.0
58047,45,54.0,4.0,58.0,173.0
58048,42,200.0,17.0,218.0,655.0
58049,42,307.0,15.0,329.0,916.0
58050,42,293.0,32.0,326.0,921.0
58051,42,354.0,19.0,380.0,1108.0
58052,42,319.0,9.0,332.0,1093.0
58053,42,639.0,31.0,680.0,1596.0
58054,42,230.0,26.0,261.0,957.0
58055,42,229.0,15.0,250.0,1007.0
58056,42,361.0,35.0,398.0,1240.0
58057,46,323.0,31.0,357.0,1175.0
58058,46,513.0,47.0,565.0,1552.0
58059,46,469.0,41.0,515.0,1326.0
58060,46,476.0,54.0,534.0,1624.0
58061,46,455.0,43.0,507.0,1502.0
58062,46,445.0,41.0,492.0,1484.0
58063,46,448.0,22.0,473.0,1577.0
58064,42,0.0,0.0,0.0,
59001,46,199.0,30.0,234.0,1020.0
59002,46,349.0,36.0,388.0,1254.0
59003,46,444.0,46.0,495.0,1616.0
59004,46,499.0,62.0,566.0,1539.0
59005,46,450.0,41.0,497.0,1564.0
59006,46,513.0,34.0,554.0,1513.0
59007,46,510.0,40.0,554.0,1502.0
59008,46,476.0,30.0,510.0,1447.0
59009,46,540.0,30.0,581.0,1457.0
59010,46,412.0,50.0,463.0,1468.0
59011,46,397.0,38.0,440.0,1512.0
59012,46,423.0,45.0,473.0,1319.0
59013,46,472.0,26.0,505.0,1483.0
59014,46,310.0,33.0,345.0,972.0
59015,46,15.0,1.0,17.0,50.0
59016,46,420.0,34.0,459.0,1517.0
59017,46,474.0,26.0,507.0,1504.0
59018,46,453.0,31.0,485.0,1416.0
59019,46,434.0,29.0,466.0,1417.0
59020,42,431.0,18.0,452.0,1398.0
59021,45,489.0,41.0,537.0,1452.0
59022,46,525.0,29.0,558.0,1370.0
59023,45,207.0,13.0,223.0,672.0
59024,45,219.0,14.0,240.0,962.0
59025,45,213.0,25.0,244.0,1025.0
59026,45,391.0,20.0,415.0,1056.0
59027,46,368.0,24.0,393.0,1066.0
59028,46,275.0,32.0,311.0,1062.0
59029,46,338.0,62.0,403.0,1104.0
59030,46,372.0,79.0,452.0,1103.0
59031,45,130.0,18.0,148.0,411.0
59032,46,436.0,40.0,479.0,1516.0
59033,46,324.0,166.0,493.0,1408.0
59034,46,340.0,69.0,411.0,1239.0
59035,45,163.0,29.0,193.0,536.0
59036,46,371.0,107.0,481.0,1248.0
59037,46,434.0,138.0,580.0,1430.0
59038,46,349.0,122.0,477.0,1444.0
59039,46,436.0,110.0,552.0,1515.0
59040,46,46.0,124.0,170.0,301.0
59041,46,321.0,134.0,463.0,1355.0
59042,46,226.0,370.0,599.0,1433.0
59043,46,316.0,291.0,609.0,1567.0
